Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,allstar
2911,Vince Carter,TOR,26.0,198.12,102.0582,North Carolina,USA,1998,1,5,43,20.6,4.4,3.3,-1.2,0.045,0.101,0.279,0.532,0.181,2003,1
2923,Yao Ming,HOU,22.0,226.06,134.26323200000002,None,China,2002,1,1,82,13.5,8.2,1.7,2.2,0.099,0.223,0.222,0.57,0.104,2003,1
2942,Tim Duncan,SAS,27.0,213.36,117.93392,Wake Forest,US Virgin Islands,1997,1,1,81,23.3,12.9,3.9,9.1,0.1,0.268,0.279,0.564,0.191,2003,1
2953,Tracy McGrady,ORL,24.0,203.2,95.25431999999999,None,USA,1997,1,9,75,32.1,6.5,5.5,3.5,0.046,0.147,0.35,0.564,0.282,2003,1
3004,Kenyon Martin,NJN,25.0,205.74,106.140528,Cincinnati,USA,2000,1,1,77,16.7,8.3,2.4,7.3,0.073,0.208,0.247,0.511,0.126,2003,1
3007,Kevin Garnett,MIN,27.0,210.82,99.79024,None,USA,1995,1,5,82,23.0,13.4,6.0,6.8,0.086,0.282,0.262,0.5529999999999999,0.249,2003,1
3011,Kobe Bryant,LAL,24.0,200.66,97.52228,None,USA,1996,1,13,82,30.0,6.9,5.9,3.7,0.035,0.152,0.329,0.55,0.268,2003,1
3027,Paul Pierce,BOS,25.0,198.12,104.32616,Kansas,USA,1998,1,10,79,25.9,7.3,4.4,2.7,0.038,0.179,0.329,0.532,0.236,2003,1
3029,Peja Stojakovic,SAC,26.0,208.28,103.872568,None,Serbia and Montenegro,1996,1,14,72,19.2,5.5,2.0,8.2,0.028,0.13699999999999998,0.223,0.6,0.08900000000000001,2003,1
3050,Metta World Peace,IND,23.0,200.66,111.583632,St. John's (NY),USA,1999,1,16,69,15.5,5.2,2.9,7.6,0.051,0.122,0.223,0.529,0.14400000000000002,2003,1
3063,Michael Redd,MIL,23.0,198.12,97.52228,Ohio State,USA,2000,2,43,82,15.1,4.5,1.4,2.6,0.05,0.14,0.224,0.59,0.08900000000000001,2003,1
3103,Paul Pierce,BOS,26.0,198.12,104.32616,Kansas,USA,1998,1,10,80,23.0,6.5,5.1,-0.1,0.026,0.163,0.304,0.517,0.249,2004,1
3120,LeBron James,CLE,19.0,203.2,108.86208,None,USA,2003,1,1,79,20.9,5.5,5.9,-2.6,0.035,0.117,0.28,0.488,0.268,2004,1
3128,Kobe Bryant,LAL,25.0,198.12,99.79024,None,USA,1996,1,13,65,24.0,5.5,5.1,6.2,0.047,0.119,0.28600000000000003,0.551,0.237,2004,1
3134,Kevin Garnett,MIN,28.0,210.82,108.86208,None,USA,1995,1,5,82,24.2,13.9,5.0,10.4,0.092,0.298,0.294,0.547,0.233,2004,1
3172,Manu Ginobili,SAS,26.0,198.12,95.25431999999999,None,Argentina,1999,2,57,77,12.8,4.5,3.8,8.7,0.043,0.128,0.217,0.536,0.218,2004,1
3181,Tracy McGrady,ORL,25.0,203.2,95.25431999999999,None,USA,1997,1,9,67,28.0,6.0,5.5,-7.1,0.039,0.131,0.33,0.526,0.272,2004,1
3190,Tim Duncan,SAS,28.0,213.36,117.93392,Wake Forest,US Virgin Islands,1997,1,1,69,22.3,12.4,3.1,11.3,0.103,0.276,0.3,0.534,0.17,2004,1
3201,Steve Nash,DAL,30.0,190.5,88.45044,Santa Clara,Canada,1996,1,15,78,14.5,3.0,8.8,4.7,0.024,0.073,0.193,0.59,0.37,2004,1
3204,Zydrunas Ilgauskas,CLE,29.0,220.98,117.93392,None,Lithuania,1996,1,20,81,15.3,8.1,1.3,-3.7,0.122,0.163,0.229,0.541,0.07400000000000001,2004,1
3211,Yao Ming,HOU,23.0,228.6,140.61352,None,China,2002,1,1,82,17.5,9.0,1.5,3.6,0.093,0.22,0.252,0.586,0.09,2004,1
3222,Vince Carter,TOR,27.0,198.12,102.0582,North Carolina,USA,1998,1,5,73,22.5,4.8,4.8,0.4,0.038,0.104,0.321,0.501,0.262,2004,1
3229,Rashard Lewis,SEA,24.0,208.28,97.52228,None,USA,1998,2,32,80,17.8,6.5,2.2,-0.2,0.053,0.151,0.233,0.527,0.105,2004,1
3252,Ray Allen,SEA,28.0,195.58,92.98636,Connecticut,USA,1996,1,5,56,23.0,5.1,4.8,1.5,0.038,0.118,0.278,0.5660000000000001,0.223,2004,1
3265,Shawn Marion,PHX,26.0,200.66,97.52228,Nevada-Las Vegas,USA,1999,1,9,79,19.0,9.3,2.7,-2.9,0.07400000000000001,0.189,0.227,0.513,0.116,2004,1
3268,Shaquille O'Neal,LAL,32.0,215.9,154.22128,Louisiana State,USA,1992,1,1,67,21.5,11.5,2.9,8.3,0.114,0.232,0.26,0.578,0.14,2004,1
3348,Antawn Jamison,DAL,28.0,205.74,102.0582,North Carolina,USA,1998,1,4,82,14.8,6.3,0.9,6.1,0.104,0.135,0.206,0.581,0.047,2004,1
3355,Amar'e Stoudemire,PHX,21.0,208.28,111.13004,None,USA,2002,1,9,55,20.6,9.0,1.4,-2.8,0.08800000000000001,0.188,0.274,0.536,0.07,2004,1
3391,Ben Wallace,DET,29.0,205.74,108.86208,Virginia Union,USA,Undrafted,Undrafted,Undrafted,81,9.5,12.4,1.7,7.8,0.121,0.254,0.152,0.441,0.075,2004,1
3447,Jermaine O'Neal,IND,25.0,210.82,109.76926399999999,None,USA,1996,1,17,78,20.1,10.0,2.1,8.3,0.08,0.247,0.3,0.489,0.119,2004,1
3463,Dwyane Wade,MIA,22.0,193.04,96.161504,Marquette,USA,2003,1,5,61,16.2,4.0,4.5,1.9,0.046,0.08800000000000001,0.246,0.53,0.241,2004,1
3469,Dirk Nowitzki,DAL,26.0,213.36,111.13004,None,Germany,1998,1,9,77,21.8,8.7,2.7,7.2,0.033,0.221,0.246,0.561,0.11,2004,1
3492,Gilbert Arenas,WAS,22.0,190.5,86.636072,Arizona,USA,2001,2,30,55,19.6,4.6,5.0,-5.5,0.029,0.109,0.268,0.512,0.244,2004,1
3507,Allen Iverson,PHI,29.0,182.88,74.84268,Georgetown,USA,1996,1,1,48,26.4,3.7,6.8,-2.1,0.019,0.079,0.343,0.478,0.325,2004,1
3540,Pau Gasol,MEM,24.0,213.36,108.86208,None,Spain,2001,1,3,56,17.8,7.3,2.4,4.1,0.08900000000000001,0.183,0.26,0.5820000000000001,0.14300000000000002,2005,1
3570,Kobe Bryant,LAL,26.0,198.12,99.79024,None,USA,1996,1,13,66,27.6,5.9,6.0,-2.2,0.04,0.125,0.316,0.563,0.287,2005,1
3578,Kevin Garnett,MIN,29.0,210.82,99.79024,None,USA,1995,1,5,82,22.2,13.5,5.7,1.2,0.095,0.303,0.269,0.5670000000000001,0.264,2005,1
3617,LeBron James,CLE,20.0,203.2,108.86208,None,USA,2003,1,1,80,27.2,7.4,7.2,1.9,0.038,0.17,0.297,0.5539999999999999,0.324,2005,1
3627,Tracy McGrady,HOU,26.0,203.2,95.25431999999999,None,USA,1997,1,9,78,25.7,6.2,5.7,4.0,0.027000000000000003,0.149,0.309,0.526,0.276,2005,1
3629,Tony Parker,SAS,23.0,187.96,80.28578399999998,None,France,2001,1,28,80,16.6,3.7,6.1,9.7,0.02,0.107,0.25,0.528,0.32299999999999995,2005,1
3638,Tim Duncan,SAS,29.0,210.82,117.93392,Wake Forest,US Virgin Islands,1997,1,1,66,20.3,11.1,2.7,16.7,0.111,0.277,0.29100000000000004,0.54,0.151,2005,1
3647,Steve Nash,PHX,31.0,190.5,88.45044,Santa Clara,Canada,1996,1,15,75,15.5,3.3,11.5,13.3,0.025,0.078,0.205,0.606,0.46,2005,1
3662,Yao Ming,HOU,24.0,228.6,140.61352,None,China,2002,1,1,80,18.3,8.4,0.8,2.0,0.102,0.215,0.264,0.614,0.048,2005,1
3672,Vince Carter,NJN,28.0,198.12,99.79024,North Carolina,USA,1998,1,5,77,24.5,5.2,4.2,0.1,0.042,0.125,0.31,0.541,0.234,2005,1
3690,Richard Hamilton,DET,27.0,200.66,87.543256,Connecticut,USA,1999,1,7,76,18.7,3.9,4.9,7.8,0.03,0.087,0.249,0.528,0.226,2005,1
3694,Ray Allen,SEA,29.0,195.58,92.98636,Connecticut,USA,1996,1,5,78,23.9,4.4,3.7,3.4,0.032,0.106,0.276,0.555,0.17600000000000002,2005,1
3698,Rasheed Wallace,DET,30.0,210.82,104.32616,North Carolina,USA,1995,1,4,79,14.5,8.2,1.8,7.5,0.076,0.202,0.223,0.499,0.094,2005,1
3714,Shawn Marion,PHX,27.0,200.66,103.418976,Nevada-Las Vegas,USA,1999,1,9,81,19.4,11.3,1.9,10.8,0.085,0.223,0.212,0.556,0.07200000000000001,2005,1
3718,Shaquille O'Neal,MIA,33.0,215.9,147.4174,Louisiana State,USA,1992,1,1,73,22.9,10.4,2.7,10.8,0.124,0.224,0.303,0.583,0.149,2005,1
3740,Paul Pierce,BOS,27.0,198.12,104.32616,Kansas,USA,1998,1,10,82,21.6,6.6,4.2,3.5,0.032,0.17600000000000002,0.265,0.583,0.197,2005,1
3749,Chris Bosh,TOR,21.0,208.28,106.59412,Georgia Tech,USA,2003,1,4,81,16.8,8.9,1.9,-0.1,0.073,0.201,0.218,0.547,0.086,2005,1
3751,Chauncey Billups,DET,28.0,190.5,91.625584,Colorado,USA,1997,1,3,80,16.5,3.4,5.8,6.8,0.02,0.08900000000000001,0.207,0.609,0.277,2005,1
3815,Allen Iverson,PHI,30.0,182.88,74.84268,Georgetown,USA,1996,1,1,75,30.7,4.0,7.9,0.3,0.018000000000000002,0.08900000000000001,0.34700000000000003,0.532,0.361,2005,1
3844,Ben Wallace,DET,30.0,205.74,108.86208,Virginia Union,USA,Undrafted,Undrafted,Undrafted,74,9.7,12.2,1.7,7.6,0.126,0.257,0.152,0.459,0.075,2005,1
3906,Jermaine O'Neal,IND,26.0,210.82,109.76926399999999,None,USA,1996,1,17,44,24.3,8.8,1.9,0.3,0.066,0.225,0.36,0.52,0.124,2005,1
3924,Dwyane Wade,MIA,23.0,193.04,96.161504,Marquette,USA,2003,1,5,77,24.1,5.2,6.8,8.0,0.045,0.109,0.306,0.561,0.303,2005,1
3931,Dirk Nowitzki,DAL,27.0,213.36,111.13004,None,Germany,1998,1,9,78,26.1,9.7,3.1,9.7,0.037000000000000005,0.236,0.28600000000000003,0.578,0.138,2005,1
3947,Elton Brand,LAC,26.0,203.2,123.377024,Duke,USA,1999,1,1,81,20.0,9.5,2.6,2.0,0.121,0.184,0.251,0.5539999999999999,0.128,2005,1
3953,Gilbert Arenas,WAS,23.0,190.5,86.636072,Arizona,USA,2001,2,30,80,25.5,4.7,5.1,1.5,0.027000000000000003,0.104,0.271,0.565,0.224,2005,1
